DLC_title,game_title,dev_name,price,release_date,ESRB_rating
Cuphead - The Delicious Last Course,Cuphead,StudioMDHR,7.99,6/30/2022,Everyone 10+
Order of Heroes Item Set,Fire Emblem Engage,Nintendo,0,1/20/2023,Teen
Splatoon 3 Expansion Pass,Splatoon 3,Nintendo,24.99,2/8/2023,Everyone 10+
Pokemon Scarlet: The Hidden Treasure of Area Zero,Pokemon Scarlet,Nintendo,34.99,2/27/2023,Everyone
Pokemon Violet: The Hidden Treasure of Area Zero,Pokemon Violet,Nintendo,34.99,2/27/2023,Everyone
Xenoblade Chronicles 3 Expansion Pass,Xenoblade Chronicles 3,Nintendo,29.99,7/29/2022,Teen
Mario + Rabbids Sparks of Hope DLC 2: The Last Spark Hunter,Mario + Rabbids Sparks of Hope,Ubisoft,14.99,6/21/2023,Everyone 10+
Mario + Rabbids Sparks of Hope DLC 3: Rayman in the Phantom Show,Mario + Rabbids Sparks of Hope,Ubisoft,14.99,8/30/2023,Everyone 10+
Mario + Rabbids Sparks of Hope Season Pass,Mario + Rabbids Sparks of Hope,Ubisoft,29.99,10/20/2022,Everyone 10+
PAC-MAN WORLD Re-PAC - Jukebox,PAC-MAN WORLD Re-PAC,BANDAI NAMCO Entertainment,2.99,11/16/2022,Everyone
PAC-MAN WORLD Re-PAC Chrome Noir Chogokin Skin,PAC-MAN WORLD Re-PAC,BANDAI NAMCO Entertainment,0.99,11/16/2022,Everyone
Mario Kart 8 Deluxe - Booster Course Pass,Mario Kart 8 Deluxe,Nintendo,24.99,3/18/2022,Everyone
Super Smash Bros. Ultimate: Challenger Pack 11,Super Smash Bros. Ultimate,Nintendo,5.99,10/18/2021,Everyone 10+
Super Smash Bros. Ultimate: Challenger Pack 10,Super Smash Bros. Ultimate,Nintendo,5.99,6/29/2021,Everyone 10+
Super Smash Bros. Ultimate: Challenger Pack 9,Super Smash Bros. Ultimate,Nintendo,5.99,3/4/2021,Everyone 10+
Super Smash Bros. Ultimate: Challenger Pack 8,Super Smash Bros. Ultimate,Nintendo,5.99,12/22/2020,Everyone 10+
Super Smash Bros. Ultimate: Challenger Pack 7,Super Smash Bros. Ultimate,Nintendo,5.99,10/13/2020,Everyone 10+
