"bundle_title","dev_name","price","release_date","ESRB_rating"
"Cuphead & The Delicious Last Course","StudioMDHR","26.99","6/30/2022","Everyone 10+"
"Splatoon 3 Bundle (Game + Expansion Pass)","Nintendo","84.98","2/8/2023","Everyone 10+"
"Pokemon Scarlet Bundle (Game + DLC)","Nintendo","94.99","2/27/2023","Everyone"
"Pokemon Violet Bundle (Game + DLC)","Nintendo","94.99","2/27/2023","Everyone"
"Xenoblade Chronicles 3 + Xenoblade Chronicles 3 Pass","Nintendo","89.98","7/29/2022","Teen"
"Mario + Rabbids Sparks of Hope Gold Edition","Ubisoft","89.99","10/20/2022","Everyone 10+"
"Mario + Rabbids Sparks of Hope: + Rayman Edition","Ubisoft","69.99","8/30/2023","Everyone 10+"
"Mario Kart 8 Deluxe Bundle (Game + Booster Course Pass)","Nintendo","84.98","1/27/2023","Everyone"
"Animal Crossing: New Horizons Bundle (Game + DLC)","Nintendo","84.98","1/31/2023","Everyone"
"Hyrule Warriors: Age of Calamity + Hyrule Warriors: Age of Calamity Expansion Pass","Nintendo","79.98","5/28/2021","Teen"
"The Legend of Zelda: Breath of the Wild and The Legend of Zelda: Breath of the Wild Expansion Pass Bundle","Nintendo","79.98","12/8/2017","Everyone 10+"
"Luigi's Mansion 3 + Multiplayer Pack Set","Nintendo","69.98","12/17/2019","Everyone"
"Fire Emblem: Three Houses + Expansion Pass","Nintendo","84.98","11/7/2019","Teen"
"Sonic Origins Plus","SEGA","39.99","6/23/2023","Everyone"
"Cult of the Lamb: Cultist Edition","Devolver Digital","29.99","8/24/2022","Teen"
"Cult of the Lamb: Heretic Edition","Devolver Digital","34.99","5/24/2023","Teen"
"Persona 5 Tactica: Digital Deluxe Edition","SEGA","79.99","11/17/2023","Teen"
"Persona 3 Portable & Persona 4 Golden Bundle","SEGA","34.49","1/19/2023","Mature"
"Persona Collection","SEGA","89.99","10/6/2023","Mature"
"Pokemon Brilliant Diamond and Pokemon Shining Pearl Double Pack","Nintendo","119.99","11/19/2021","Everyone"
"Pokemon Scarlet and Pokemon Violet Double Pack","Nintendo","119.99","11/18/2022","Everyone"
"Pokemon Sword and Pokemon Shield Double Pack Digital Version","Nintendo","119.99","11/15/2019","Everyone"
"Pokemon Sword + Expansion Pass","Nintendo","89.98","1/9/2020","Everyone"
"Pokemon Shield + Expansion Pass","Nintendo","89.98","1/9/2020","Everyone"
"Fire Emblem Engage Expansion Pass","Nintendo","29.99","1/20/2023","Teen"
"Super Smash Bros. Ultimate: Fighters Pass Vol. 2","Nintendo","29.99","1/28/2020","Everyone 10+"
"Super Smash Bros. Ultimate: Fighters Pass","Nintendo","24.99","12/7/2018","Everyone 10+"
"Headbangers: Rhythm Royale - Digital Deluxe Edition","Team17","29.99","10/31/2023","Everyone 10+"
"Overcooked! 2 - Gourmet Edition","Team17","48.49","4/7/2020","Everyone"
"It Takes Two - Friend's Pass","Electronic Arts","0","11/4/2022","Teen"
"Nickelodeon All-Star Brawl 2 Deluxe Edition","Game Mill","69.99","11/7/2023","Everyone 10+"
"Nickelodeon All-Star Brawl 2 Ultimate Edition","Game Mill","79.99","11/7/2023","Everyone 10+"
"Octopath Traveler II + Various Daylife Bundle","SQUARE ENIX","64.99","9/12/2023","Teen"
"Persona 5 Time","SEGA","56.99","11/20/2023","Mature"
"Double Zelda","Nintendo","149.99","5/12/2023","Everyone"
"Brilliant Scarlet Shield","Nintendo","199.99","11/18/2022","Everyone"
"Shining Violet Sword","Nintendo","199.99","11/18/2022","Everyone"
"Three Tiers of Pokemon","Nintendo","419.99","11/18/2022","Everyone"
"Team17 Bundle","Team17","46.99","10/31/2023","Everyone"
"Too Many Cooks + Game","Team17","28.99","8/7/2018","Everyone"
"Surf 'n' Turf + Game","Team17","30.99","10/3/2018","Everyone"
"Campfire Cook Off + Game","Team17","30.99","4/18/2019","Everyone"
"Night of the Hangry Horde + Game","Team17","34.99","6/13/2019","Everyone"
"Carnival Chaos + Game","Team17","30.99","9/12/2019","Everyone"
"New Mario Titles","Nintendo","119.99","11/17/2023","Everyone"
