"game_title","func_id"
"Super Mario Bros Wonder","1"
"Super Mario Bros Wonder","2"
"Super Mario RPG","3"
"WarioWare: Move It!","4"
"Detective Pikachu Returns","5"
"The Legend of Zelda: Tears of the Kingdom","6"
"Metroid Prime Remastered","7"
"Everybody 1-2-Switch!","8"
"Fire Emblem Engage","9"
"Fire Emblem Engage","10"
"Advance Wars 1+2: Re-Boot Camp","11"
"Advance Wars 1+2: Re-Boot Camp","12"
"Advance Wars 1+2: Re-Boot Camp","13"
"Octopath Traveler II","14"
"Splatoon 3","15"
"Splatoon 3","16"
"Splatoon 3","17"
"Pokemon Scarlet","18"
"Pokemon Scarlet","19"
"Pokemon Scarlet","20"
"Pokemon Violet","21"
"Pokemon Violet","22"
"Pokemon Violet","23"
"Xenoblade Chronicles 3","24"
"Kirby's Dream Buffet","25"
"Kirby's Dream Buffet","26"
"Kirby's Dream Buffet","27"
"It Takes Two","28"
"It Takes Two","29"
"It Takes Two","30"
"Disney llusion Island","31"
"Minecraft","32"
"Minecraft","33"
"Minecraft","34"
"Fall Guys","35"
"Fall Guys","36"
"Overcooked! 2","37"
"Overcooked! 2","38"
"Overcooked! 2","39"
"SEGA Genesis","40"
"SEGA Genesis","41"
"PAC-MAN World Re-PAC","42"
"No Man's Sky","43"
"STAR WARS: The Force Unleashed","44"
"Mega Man 11","45"
"DOOM Eternal","46"
"Among Us","47"
"Among Us","48"
"Among Us","49"
"Cult of the Lamb","50"
"Hades","51"
"Stardew Valley","52"
"Stardew Valley","53"
"Stardew Valley","54"
"Cuphead","55"
"Hollow Knight","56"
"Mario + Rabbids Sparks of Hope","57"
"Mario Kart 8 Deluxe","58"
"Mario Kart 8 Deluxe","59"
"Mario Kart 8 Deluxe","60"
"Super Smash Bros. Ultimate","61"
"Super Smash Bros. Ultimate","62"
"Super Smash Bros. Ultimate","63"
"Animal Crossing: New Horizons","64"
"Animal Crossing: New Horizons","65"
"Animal Crossing: New Horizons","66"
"Hyrule Warriors: Age of Calamity","67"
"The Legend of Zelda: Breath of the Wild","68"
"Fitness Boxing 2: Rhythm & Exercise","69"
"Luigi's Mansion 3","70"
"Luigi's Mansion 3","71"
"Luigi's Mansion 3","72"
"Fire Emblem: Three Houses","73"
"Sonic Origins","74"
"Persona 5 Tactica","75"
"Persona 3 Portable","76"
"Persona 4 Golden","77"
"Persona 4 Golden","78"
"Persona 5 Royal","79"
"Persona 5 Royal","80"
"Pokemon Brilliant Diamond","81"
"Pokemon Brilliant Diamond","82"
"Pokemon Brilliant Diamond","83"
"Pokemon Shining Pearl","84"
"Pokemon Shining Pearl","85"
"Pokemon Shining Pearl","86"
"Pokemon Shield","87"
"Pokemon Shield","88"
"Pokemon Shield","89"
"Pokemon Sword","90"
"Pokemon Sword","91"
"Pokemon Sword","92"
"Headbangers: Rhythm Royale","93"
"Headbangers: Rhythm Royale","94"
"Nickelodeon All-Star Brawl 2","95"
"Nickelodeon All-Star Brawl 2","96"
"Various Daylife","97"
