"game_title","bundle_title"
"Cuphead","Cuphead & The Delicious Last Course"
"Splatoon 3","Splatoon 3 Bundle (Game + Expansion Pass)"
"Pokemon Scarlet","Pokemon Scarlet Bundle (Game + DLC)"
"Pokemon Violet","Pokemon Violet Bundle (Game + DLC)"
"Xenoblade Chronicles 3","Xenoblade Chronicles 3 + Xenoblade Chronicles 3 Pass"
"Mario + Rabbids Sparks of Hope","Mario + Rabbids Sparks of Hope Gold Edition"
"Mario + Rabbids Sparks of Hope","Mario + Rabbids Sparks of Hope: + Rayman Edition"
"Mario Kart 8 Deluxe","Mario Kart 8 Deluxe Bundle (Game + Booster Course Pass)"
"Animal Crossing: New Horizons","Animal Crossing: New Horizons Bundle (Game + DLC)"
"Hyrule Warriors: Age of Calamity","Hyrule Warriors: Age of Calamity + Hyrule Warriors: Age of Calamity Expansion Pass"
"The Legend of Zelda: Breath of the Wild","The Legend of Zelda: Breath of the Wild and The Legend of Zelda: Breath of the Wild Expansion Pass Bundle"
"Luigi's Mansion 3","Luigi's Mansion 3 + Multiplayer Pack Set"
"Fire Emblem: Three Houses","Fire Emblem: Three Houses + Expansion Pass"
"Sonic Origins","Sonic Origins Plus"
"Cult of the Lamb","Cult of the Lamb: Cultist Edition"
"Cult of the Lamb","Cult of the Lamb: Heretic Edition"
"Persona 5 Tactica","Persona 5 Tactica: Digital Deluxe Edition"
"Persona 3 Portable","Persona 3 Portable & Persona 4 Golden Bundle"
"Persona 4 Golden","Persona 3 Portable & Persona 4 Golden Bundle"
"Persona 3 Portable","Persona Collection"
"Persona 4 Golden","Persona Collection"
"Persona 5 Royal","Persona Collection"
"Pokemon Brilliant Diamond","Pokemon Brilliant Diamond and Pokemon Shining Pearl Double Pack"
"Pokemon Shining Pearl","Pokemon Brilliant Diamond and Pokemon Shining Pearl Double Pack"
"Pokemon Scarlet","Pokemon Scarlet and Pokemon Violet Double Pack"
"Pokemon Violet","Pokemon Scarlet and Pokemon Violet Double Pack"
"Pokemon Sword","Pokemon Sword and Pokemon Shield Double Pack Digital Version"
"Pokemon Shield","Pokemon Sword and Pokemon Shield Double Pack Digital Version"
"Pokemon Sword","Pokemon Sword + Expansion Pass"
"Pokemon Shield","Pokemon Shield + Expansion Pass"
"Fire Emblem Engage","Fire Emblem Engage Expansion Pass"
"Super Smash Bros. Ultimate","Super Smash Bros. Ultimate: Fighters Pass Vol. 2"
"Super Smash Bros. Ultimate","Super Smash Bros. Ultimate: Fighters Pass"
"Headbangers: Rhythm Royale","Headbangers: Rhythm Royale - Digital Deluxe Edition"
"Overcooked! 2","Overcooked! 2 - Gourmet Edition"
"It Takes Two","It Takes Two - Friend's Pass"
"Nickelodeon All-Star Brawl 2","Nickelodeon All-Star Brawl 2 Deluxe Edition"
"Nickelodeon All-Star Brawl 2","Nickelodeon All-Star Brawl 2 Ultimate Edition"
"Octopath Traveler II","Octopath Traveler II + Various Daylife Bundle"
"Various Daylife","Octopath Traveler II + Various Daylife Bundle"
"Persona 5 Royal","Persona 5 Time"
"Persona 5 Tactica","Persona 5 Time"
"The Legend of Zelda: Breath of the Wild","Double Zelda"
"The Legend of Zelda: Tears of the Kingdom","Double Zelda"
"Pokemon Brilliant Diamond","Brilliant Scarlet Shield"
"Pokemon Scarlet","Brilliant Scarlet Shield"
"Pokemon Shield","Brilliant Scarlet Shield"
"Pokemon Shining Pearl","Shining Violet Sword"
"Pokemon Violet","Shining Violet Sword"
"Pokemon Sword","Shining Violet Sword"
"Pokemon Brilliant Diamond","Three Tiers of Pokemon"
"Pokemon Scarlet","Three Tiers of Pokemon"
"Pokemon Shield","Three Tiers of Pokemon"
"Pokemon Shining Pearl","Three Tiers of Pokemon"
"Pokemon Violet","Three Tiers of Pokemon"
"Pokemon Sword","Three Tiers of Pokemon"
"Overcooked! 2","Team17 Bundle"
"Headbangers: Rhythm Royale","Team17 Bundle"
"Overcooked! 2","Too Many Cooks + Game"
"Overcooked! 2","Surf 'n' Turf + Game"
"Overcooked! 2","Campfire Cook Off + Game"
"Overcooked! 2","Night of the Hangry Horde + Game"
"Overcooked! 2","Carnival Chaos + Game"
"Super Mario Bros. Wonder","New Mario Titles"
"Super Mario RPG","New Mario Titles"
