"game_title","dev_name","price","release_date","genre1","genre2","genre3","ESRB_rating"
"Super Mario Bros Wonder","Nintendo","59.99","10/20/2023","Platformer","Action","NULL","Everyone"
"Super Mario RPG","Nintendo","59.99","11/17/2023","Role-Playing","Adventure","NULL","Everyone"
"WarioWare: Move It!","Nintendo","49.99","11/3/2023","Action","Party","NULL","Everyone 10+"
"Detective Pikachu Returns","Nintendo","49.99","10/6/2023","Adventure","NULL","NULL","Everyone"
"The Legend of Zelda: Tears of the Kingdom","Nintendo","69.99","5/12/2023","Adventure","Action","Role-Playing","Everyone 10+"
"Metroid Prime Remastered","Nintendo","39.99","2/8/2023","Adventure","Action","Platformer","Teen"
"Everybody 1-2-Switch!","Nintendo","29.99","6/30/2023","Party","NULL","NULL","Everyone"
"Fire Emblem Engage","Nintendo","59.99","1/20/2023","Role-Playing","Strategy","NULL","Teen"
"Advance Wars 1+2: Re-Boot Camp","Nintendo","59.99","4/21/2023","Strategy","NULL","NULL","Everyone 10+"
"Octopath Traveler II","SQUARE ENIX","59.99","2/24/2023","Role-Playing","NULL","NULL","Teen"
"Splatoon 3","Nintendo","59.99","9/9/2022","Action","Multiplayer","NULL","Everyone 10+"
"Pokemon Scarlet","Nintendo","59.99","11/18/2022","Adventure","Role-Playing","NULL","Everyone"
"Pokemon Violet","Nintendo","59.99","11/18/2022","Adventure","Role-Playing","NULL","Everyone"
"Xenoblade Chronicles 3","Nintendo","59.99","6/29/2022","Role-Playing","NULL","NULL","Teen"
"Kirby's Dream Buffet","Nintendo","14.99","8/17/2022","Action","Multiplayer","NULL","Everyone"
"It Takes Two","Electronic Arts","39.99","11/4/2022","Action","Adventure","Platformer","Teen"
"Disney llusion Island","Disney Electronic Content","39.99","7/28/2023","Action","Adventure","Multiplayer","Everyone"
"Minecraft","Mojang","29.99","6/28/2018","Action","Strategy","Simulation","Everyone 10+"
"Fall Guys","Epic Games","0","6/21/2022","Multiplayer","Party","NULL","Everyone"
"Overcooked! 2","Team17","24.99","8/7/2018","Strategy","Party","Simulation","Everyone"
"SEGA Genesis","SEGA","29.99","12/7/2018","Arcade","Action","Platformer","Teen"
"PAC-MAN World Re-PAC","BANDAI NAMCO Entertainment","29.99","8/26/2022","Platformer","Arcade","Adventure","Everyone"
"No Man's Sky","Hello Games","59.99","10/7/2022","Action","Adventure","Simulation","Teen"
"STAR WARS: The Force Unleashed","Aspyr","19.99","4/20/2022","Action","Adventure","NULL","Teen"
"Mega Man 11","CAPCOM","29.99","10/2/2018","Action","NULL","NULL","Everyone 10+"
"DOOM Eternal","Bethesda","39.99","12/8/2020","Action","NULL","NULL","Mature"
"Among Us","Innersloth","5","12/15/2020","Multiplayer","Party","Other","Everyone 10+"
"Cult of the Lamb","Devolver Digital","24.99","8/11/2022","Action","Adventure","Strategy","Teen"
"Hades","Supergiant Games","24.99","9/17/2020","Action","Adventure","Role-Playing","Teen"
"Stardew Valley","ConcernedApe","14.99","10/5/2017","Role-Playing","Simulation","NULL","Everyone 10+"
"Cuphead","StudioMDHR","19.99","4/18/2019","Action","Arcade","Platformer","Everyone 10+"
"Hollow Knight","Team Cherry","15","6/12/2018","Action","Adventure","Platformer","Everyone 10+"
"Mario + Rabbids Sparks of Hope","Ubisoft","59.99","10/20/2022","Strategy","NULL","NULL","Everyone 10+"
"Mario Kart 8 Deluxe","Nintendo","59.99","4/28/2017","Racing","Multiplayer","Other","Everyone"
"Super Smash Bros. Ultimate","Nintendo","59.99","12/7/2018","Action","Fighting","Multiplayer","Everyone 10+"
"Animal Crossing: New Horizons","Nintendo","59.99","3/20/2020","Simulation","NULL","NULL","Everyone"
"Hyrule Warriors: Age of Calamity","Nintendo","59.99","11/20/2020","Action","Adventure","Fighting","Teen"
"The Legend of Zelda: Breath of the Wild","Nintendo","59.99","3/3/2017","Adventure","Action","Role-Playing","Everyone 10+"
"Fitness Boxing 2: Rhythm & Exercise","Nintendo","49.99","12/4/2020","Training","Sports","Music","Everyone"
"Luigi's Mansion 3","Nintendo","59.99","10/31/2019","Action","Adventure","NULL","Everyone"
"Fire Emblem: Three Houses","Nintendo","59.99","7/26/2019","Role-Playing","Strategy","NULL","Teen"
"Sonic Origins","SEGA","29.99","6/23/2022","Action","Platformer","Adventure","Everyone"
"Persona 5 Tactica","SEGA","59.99","11/17/2023","Role-Playing","Strategy","Simulation","Teen"
"Persona 3 Portable","SEGA","19.99","1/19/2023","Role-Playing","NULL","NULL","Mature"
"Persona 4 Golden","SEGA","19.99","1/19/2023","Role-Playing","NULL","NULL","Mature"
"Persona 5 Royal","SEGA","59.99","10/21/2022","Role-Playing","NULL","NULL","Mature"
"Pokemon Brilliant Diamond","Nintendo","59.99","11/19/2021","Adventure","Role-Playing","NULL","Everyone"
"Pokemon Shining Pearl","Nintendo","59.99","11/19/2021","Adventure","Role-Playing","NULL","Everyone"
"Pokemon Shield","Nintendo","59.99","11/15/2019","Adventure","Role-Playing","NULL","Everyone"
"Pokemon Sword","Nintendo","59.99","11/15/2019","Adventure","Role-Playing","NULL","Everyone"
"Headbangers: Rhythm Royale","Team17","19.99","10/31/2023","Party","Multiplayer","Music","Everyone 10+"
"Nickelodeon All-Star Brawl 2","Game Mill","49.99","11/7/2023","Action","Fighting","Multiplayer","Everyone 10+"
"Various Daylife","SQUARE ENIX","28.99","9/13/2022","Role-Playing","NULL","NULL","Everyone 10+"
